HPSA Discipline Class,HPSA Geography Identification Number,HPSA Component Type Description,HPSA Name,HPSA ID,County Equivalent Name,Designation Type,HPSA Population Type,HPSA Status,HPSA Score
Primary Care,6001433104,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001433700,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001433800,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001433900,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001434000,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001435400,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001435500,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001435601,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001435602,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001435700,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6001436300,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6003010000,Census Tract,MSSA 3/Markleeville,1064812935,Alpine,Geographic HPSA,Geographic Population,Designated,10
Primary Care,6005000101,Census Tract,MSSA 6/Pioneer,1061018308,Amador,Geographic HPSA,Geographic Population,Designated,16
Primary Care,6005000102,Census Tract,MSSA 6/Pioneer,1061018308,Amador,Geographic HPSA,Geographic Population,Designated,16
Primary Care,6005000301,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7
Primary Care,6005000303,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7
Primary Care,6005000304,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7
Primary Care,6005000401,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7
Primary Care,6005000402,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7
Primary Care,6005000500,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7
Primary Care,6007001702,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007001703,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007001704,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007001800,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007001900,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007002000,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007002100,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007002200,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007002300,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6007002500,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007002601,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007002602,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007002700,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007002800,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007002900,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007003001,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007003002,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007003100,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007003200,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007003300,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007003700,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13
Primary Care,6007003400,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9
Primary Care,6007003501,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9
Primary Care,6007003502,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9
Primary Care,6007003600,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9
Primary Care,6007001600,Census Tract,MSSA 7.3/Butte Meadows/Forest Ranch,1065749241,Butte,Geographic HPSA,Geographic Population,Designated,11
Primary Care,6007002400,Census Tract,MSSA 11/Berry Creek,1067111175,Butte,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6007001500,Census Tract,MSSA 7.4/Durham,1069639946,Butte,Geographic HPSA,Geographic Population,Designated,11
Primary Care,6009000120,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000121,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000122,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000210,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000220,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000300,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000400,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000501,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000503,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6009000504,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8
Primary Care,6011,Single County,Colusa County,1068364034,Colusa,Geographic HPSA,Geographic Population,Designated,11
Primary Care,6015,Single County,MSSA 19/Del Norte County,1069379423,Del Norte,High Needs Geographic HPSA,Geographic Population,Designated,9
Primary Care,6017030200,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017030301,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017030302,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017030401,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017030402,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017030502,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017030504,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017030505,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017031600,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017032000,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14
Primary Care,6017031301,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15
Primary Care,6017031302,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15
Primary Care,6017031402,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15
Primary Care,6017031404,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15
Primary Care,6017031405,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15
Primary Care,6017031406,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15
Primary Care,6017031900,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15
Primary Care,6017030602,Census Tract,MSSA 22/Georgetown N El Dorado,1065594606,El Dorado,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6017030603,Census Tract,MSSA 22/Georgetown N El Dorado,1065594606,El Dorado,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019003803,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14
Primary Care,6019003900,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14
Primary Care,6019004001,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14
Primary Care,6019004002,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14
Primary Care,6019004100,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14
Primary Care,6019004207,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14
Primary Care,6019000800,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019000901,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019000902,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001000,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001100,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001700,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001800,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001900,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007002,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007003,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007004,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007100,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007201,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007202,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007300,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007400,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007500,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007600,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007700,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019007801,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16
Primary Care,6019007802,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16
Primary Care,6019007901,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16
Primary Care,6019007902,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16
Primary Care,6019008000,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16
Primary Care,6019008100,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16
Primary Care,6019001409,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001410,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001411,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001412,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001413,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019001414,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019003102,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019003103,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019003104,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005407,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005602,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005605,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005606,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005701,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005702,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005703,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005704,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005801,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005802,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005804,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019005805,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12
Primary Care,6019008301,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20
Primary Care,6019008302,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20
Primary Care,6019008401,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20
Primary Care,6019008402,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20
Primary Care,6019008200,Census Tract,MSSA 26/San Joaquin,1067422699,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,18
Primary Care,6019000100,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019000200,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019000300,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019000400,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019000501,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019000502,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019000600,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019000700,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019001201,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019001202,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019001301,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019001303,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019001304,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019002000,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019002100,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019002200,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019002300,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019002400,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003400,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003500,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003600,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003701,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003702,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003804,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003805,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003807,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003808,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003809,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019003810,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004205,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004701,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004703,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004704,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004801,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004802,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004901,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019004902,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019005100,Census Tract,"MSSAs 35c,35e/Fresno W Central/Fresno S & W",1067426263,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,17
Primary Care,6019001500,Census Tract,MSSA 31- Sanger,1067629425,Fresno,Geographic HPSA,Geographic Population,Designated,5
